date,Text,Clean_text,Verdict
1960-09-26,"Now, this is not standing still.",standing still,-1
1960-09-26,So these are three programs which are quite moderate.,three programs quite moderate,-1
1960-09-26,"The proposal advanced by you and by Mr. Javits would have cost six hundred millions of dollars - Mr. Rockefeller rejected it in New York, said he didn't agree with the financing at all, said it ought to be on Social Security.",proposal advanced mr javits would cost six hundred millions dollars mr rockefeller rejected new york said agree financing said ought social security,1
1960-09-26,It does not put a deficit on the Treasury.,put deficit treasury,1
1960-09-26,"The third is medical care for the aged which is tied to Social Security, which is financed out of Social Security funds.",third medical care aged tied social security financed social security funds,-1
1960-09-26,And I say a majority of the Republicans are opposed to it.,say majority republicans opposed,1
1960-09-26,But I do say a majority are.,say majority,1
1960-09-26,I don't say the Democrats are united in their support of the program.,say democrats united support program,-1
1960-09-26,"It was not an extreme bill and yet we could not get one Republican to join, at least I think four of the eight Democrats voted to send it to the floor of the House - not one Republican - and they joined with those Democrats who were opposed to it.",extreme bill yet could get one republican join least think four eight democrats voted send floor house one republican joined democrats opposed,1
1960-09-26,"The fact of the matter is it was a bill that was less than you recommended, Mr. Nixon, this morning in your proposal.",fact matter bill less recommended mr nixon morning proposal,1
1960-09-26,"It - it was a very uh - because of the defeat of teacher salaries, it was not a bill that uh - met in my opinion the need.",uh defeat teacher salaries bill uh met opinion need,-1
1960-09-26,Secondly was the federal aid to education bill.,secondly federal aid education bill,-1
1960-09-26,I don't think that's extreme at all; and yet nearly two-thirds to three-fourths of the Republicans in the House of Representatives voted against that proposal.,think extreme yet nearly two thirds three fourths republicans house representatives voted proposal,1
1960-09-26,One was a bill for a dollar twenty-five cents an hour for anyone who works in a store or company that has a million dollars a year business.,one bill dollar twenty five cents hour anyone works store company million dollars year business,1
1960-09-26,"Well, now let's look at these bills that the Vice President suggests were too extreme.",well let look bills vice president suggests extreme,-1
1960-09-26,"And the reason President Eisenhower's vetoes have been sustained - the reason the Congress does not send up bills to him which they think will be vetoed - is because the people and the Congress, the majority of them, know the country is behind the President.",reason president eisenhower vetoes sustained reason congress send bills think vetoed people congress majority know country behind president,-1
1960-09-26,You must always remember that a president can't stop anything unless he has the people behind him.,must always remember president stop anything unless people behind,-1
1960-09-26,"Now, I also say that as far as Senator Kennedy's proposals are concerned, that, again, the question is not simply one of uh - a presidential veto stopping programs.",also say far senator kennedy proposals concerned question simply one uh presidential veto stopping programs,-1
1960-09-26,I think it shows the difference between the two parties.,think shows difference two parties,-1
1960-09-26,"And whether this House and Senate, in the next session is Democratic or Republican, if the country will have voted for the candidate for the presidency and for the proposals that he has made, I believe that you will find that the president, if it were a Republican, as it would be in my case, would be able to get his program through that Congress.",whether house senate next session democratic republican country voted candidate presidency proposals made believe find president republican would case would able get program congress,-1
1960-09-26,One party is ready to move in these programs.,one party ready move programs,-1
1960-09-26,"Well, I think they're serious.",well think serious,-1
1960-09-26,"The test of whether America moves is whether the federal government, plus the state government, plus the local government, plus the biggest segment of all - individual enterprise - moves.",test whether america moves whether federal government plus state government plus local government plus biggest segment individual enterprise moves,-1
1960-09-26,Too often in appraising whether we are moving ahead or not we think only of what the federal government is doing.,often appraising whether moving ahead think federal government,-1
1960-09-26,As a matter of fact your question brings out a point that I am very glad to make.,matter fact question brings point glad make,-1
1960-09-26,The question again is not one of goals - we're for those goals - it's one of means.,question one goals goals one means,-1
